team,season,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,made_playoffs
CHA,2016,103.402439,37.02439024,84.41463415,43.89634146,10.64634146,29.3902439,36.15487805,18.70731707,23.67073171,79.5195122,8.951219512,34.98780488,43.93902439,21.68292683,12.54878049,7.256097561,5.341463415,18.13414634,2.719512195,0.585365854,1
CHA,2017,104.8902439,37.7195122,85.36585366,44.31097561,10.04878049,28.62195122,34.80487805,19.40243902,23.81707317,81.64756098,8.792682927,34.79268293,43.58536585,23.06097561,11.48780488,6.963414634,4.756097561,16.58536585,0.195121951,0.43902439,0
CHA,2018,108.2195122,38.98780488,86.65853659,45.0597561,10.04878049,27.23170732,36.28780488,20.19512195,27.02439024,74.73658537,10.08536585,35.37804878,45.46341463,21.58536585,12.69512195,6.817073171,4.548780488,17.18292683,0.256097561,0.43902439,0
CHA,2019,110.7439024,40.20731707,89.7804878,44.8695122,11.91463415,33.93902439,35.12073171,18.41463415,23.1097561,79.24878049,9.926829268,33.87804878,43.80487805,23.23170732,12.20731707,7.207317073,4.93902439,18.90243902,-1.097560976,0.475609756,0
CHA,2020,102.8769231,37.30769231,85.93846154,43.51538462,12.07692308,34.32307692,34.92769231,16.18461538,21.63076923,74.86461538,11,31.78461538,42.78461538,23.83076923,14.6,6.584615385,4.123076923,18.81538462,-6.753846154,0.353846154,0
CHA,2021,109.4583333,39.93055556,87.83333333,45.53888889,13.68055556,37.02777778,36.79722222,15.91666667,20.90277778,75.47777778,10.58333333,33.18055556,43.76388889,26.84722222,14.84722222,7.847222222,4.777777778,18.02777778,-1.930555556,0.458333333,0
CHA,2022,115.3292683,42.7804878,91.42682927,46.99390244,13.93902439,38.17073171,36.52073171,15.82926829,21.37804878,74.22439024,10.82926829,33.74390244,44.57317073,28.07317073,13.25609756,8.62195122,4.902439024,19.86585366,0.43902439,0.524390244,0
CHA,2023,110.9512195,41.2804878,90.40243902,45.83414634,10.74390244,32.54878049,32.94756098,17.64634146,23.56097561,74.91585366,10.98780488,33.54878049,44.53658537,25.14634146,14.19512195,7.731707317,5.182926829,20.25609756,-6.243902439,0.329268293,0
CHA,2024,106.5853659,40.01219512,86.98780488,46.1195122,12.06097561,34,35.33658537,14.5,18.43902439,78.87804878,9.329268293,30.95121951,40.2804878,24.79268293,13.76829268,6.853658537,4.524390244,17.95121951,-10.24390244,0.256097561,0
CHH,1997,98.87804878,36.43902439,77.34146341,47.22073171,7.207317073,16.85365854,42.54634146,18.79268293,24.19512195,77.53292683,11.09756098,28.02439024,39.12195122,24.64634146,14.67073171,7.280487805,4.256097561,20.75609756,1.865853659,0.658536585,0
CHH,1998,96.62195122,36.19512195,77.36585366,46.90487805,4.219512195,11.02439024,37.01829268,20.01219512,26.65853659,75.53658537,12.01219512,28.54878049,40.56097561,23.67073171,15.20731707,8.426829268,3.804878049,21.42682927,2,0.62195122,0
CHH,1999,92.88,33.42,74.36,45.12,5.36,14.7,35.652,20.68,27.68,74.514,9.6,29.86,39.46,22.2,15.92,8.86,4.94,22.02,-0.1,0.52,0
CHH,2000,98.43902439,35.79268293,79.67073171,44.99146341,4.134146341,12.20731707,33.67682927,22.7195122,29.97560976,76.12804878,10.7804878,32.13414634,42.91463415,24.67073171,14.70731707,8.926829268,5.853658537,20.36585366,2.670731707,0.597560976,0
CHH,2001,91.93902439,34.14634146,79.2804878,43.29146341,4.146341463,12,34.02439024,19.5,26.17073171,74.32560976,12.59756098,31.80487805,44.40243902,23.17073171,14.42682927,8.109756098,5.548780488,21.37804878,2.097560976,0.56097561,0
CHH,2002,93.90243902,35.2804878,80.24390244,44.12682927,4.219512195,12.12195122,35.78536585,19.12195122,25.67073171,74.62073171,12.91463415,30.54878049,43.46341463,21.45121951,14.02439024,7.963414634,5.56097561,21.30487805,0.963414634,0.536585366,0
CHI,1997,103.1463415,39.96341463,84.42682927,47.38170732,6.37804878,17.1097561,37.20609756,16.84146341,22.53658537,74.59512195,15.06097561,30.01219512,45.07317073,26.12195122,13.52439024,8.743902439,4.048780488,19.7195122,10.80487805,0.841463415,1
CHI,1998,96.7195122,37.36585366,82.93902439,45.25,3.792682927,11.73170732,31.25,18.19512195,24.5,73.86097561,15.15853659,29.73170732,44.8902439,23.80487805,14.36585366,8.475609756,4.304878049,20.62195122,7.109756098,0.756097561,1
CHI,1999,81.9,30.78,76.72,40.318,3.54,12.22,29.136,16.8,23.7,70.378,11.46,27.88,39.34,20.34,15.48,8.72,3.38,22.24,-9.46,0.26,1
